,Source,source_pathways
818,P03372,"NHR(core),TGF(non-core)"
820,P03372,"NHR(core),TGF(non-core)"
846,Q13873,TGF(core)
847,P03372,"NHR(core),TGF(non-core)"
853,P01135,RTK(core)
854,P37173,"RTK(core),TGF(core)"
874,P03372,"NHR(core),TGF(non-core)"
881,Q96JA1,RTK(non-core)
882,P04629,RTK(core)
886,P17181,JAK/STAT(core)
888,P00533,"RTK(core),JAK/STAT(core)"
893,Q9HBE5,JAK/STAT(core)
908,Q13873,TGF(core)
917,Q99075,RTK(core)
929,P09619,RTK(core)
934,Q15303,"RTK(core),JAK/STAT(core)"
937,Q13873,TGF(core)
947,Q9HC73,JAK/STAT(core)
948,P37173,"RTK(core),TGF(core)"
951,Q15303,"RTK(core),JAK/STAT(core)"
952,P00533,"RTK(core),JAK/STAT(core)"
953,P36896,TGF(core)
954,P21802,RTK(core)
966,Q96JA1,RTK(non-core)
972,P20963,
982,P17181,JAK/STAT(core)
985,P29323,RTK(core)
1001,P16234,RTK(core)
1004,P40189,JAK/STAT(core)
1011,P09619,RTK(core)
1018,Q9BWV1,Hedgehog(non-core)
1020,P03372,"NHR(core),TGF(non-core)"
1022,P03372,"NHR(core),TGF(non-core)"
1025,P15260,JAK/STAT(core)
1026,P08069,RTK(core)
1032,Q13261,JAK/STAT(core)
1035,Q15262,
1038,Q04721,Notch(core)
1043,P06213,RTK(core)
1047,P37173,"RTK(core),TGF(core)"
1061,Q9Y6Q6,
1066,Q9UM47,Notch(core)
1072,P10586,RTK(non-core)
1076,P03372,"NHR(core),TGF(non-core)"
1082,P08887,JAK/STAT(core)
1086,P10912,JAK/STAT(core)
1088,P08575,JAK/STAT(non-core)
1089,Q96JA1,RTK(non-core)
1110,O75581,WNT/Wingless(core)
1124,P36897,"RTK(core),TGF(core)"
1130,P03372,"NHR(core),TGF(non-core)"
1143,P08887,JAK/STAT(core)
1150,P10721,"RTK(core),JAK/STAT(core)"
1155,P34925,"RTK(core),WNT/Wingless(core)"
1161,P06213,RTK(core)
1163,O60603,
1173,Q13651,JAK/STAT(core)
1174,P10912,JAK/STAT(core)
1181,P09619,RTK(core)
1182,P36896,TGF(core)
1185,P48551,JAK/STAT(core)
1193,P06213,RTK(core)
1197,P07333,JAK/STAT(core)
1214,P42701,JAK/STAT(core)
1216,P35968,RTK(core)
1218,P09619,RTK(core)
1223,P36897,"RTK(core),TGF(core)"
1224,P08069,RTK(core)
1226,P36894,TGF(core)
1228,Q9Y6Q6,
1231,P10586,RTK(non-core)
1232,O15455,
1235,P10912,JAK/STAT(core)
1236,Q04721,Notch(core)
1240,P10912,JAK/STAT(core)
1243,P36897,"RTK(core),TGF(core)"
1251,P00533,"RTK(core),JAK/STAT(core)"
1255,P78504,Notch(non-core)
1257,P01730,
1260,P08069,RTK(core)
1272,P10912,JAK/STAT(core)
1279,Q04771,TGF(core)
1283,O00206,
1285,P08887,JAK/STAT(core)
